player,season,pos,player_id,g,x3pa_per_game,x2pa_per_game,team,e_fg_percent,fga_per_game,x3p_percent,orb_per_game,x2p_percent,ft_percent,fg_percent,drb_percent,orb_percent,blk_percent,obpm,usg_percent,ast_percent,trb_percent,stl_percent,tov_percent,x3p_ar,ts_percent,f_tr,shooting_foul_committed,points_generated_by_assists,offensive_foul_drawn,and1,shooting_foul_drawn,fga_blocked,bad_pass_turnover,lost_ball_turnover,offensive_foul_committed
A.C. Green,1997,PF,greenac01,83,0.2,5.6,2TM,0.485,5.8,0.05,2.7,0.502,0.65,0.483,20.5,10.2,0.5,-1.0,11.8,4.4,15.3,1.5,11.5,0.041,0.523,0.407,56,163,,15,84,41,26,20,6
A.C. Green,1997,PF,greenac01,56,0.3,6.1,DAL,0.487,6.4,0.059,3.4,0.507,0.651,0.486,20.0,11.1,0.6,-0.7,11.2,4.3,15.5,1.4,11.4,0.048,0.527,0.419,42,120,,11,62,28,24,12,4
A.C. Green,1997,PF,greenac01,27,0.1,4.6,PHO,0.477,4.7,0.0,1.2,0.488,0.646,0.477,22.2,7.1,0.1,-1.8,13.9,4.6,14.7,1.7,11.8,0.023,0.513,0.375,14,43,,4,22,13,2,8,2
Aaron McKie,1997,SG,mckieaa01,83,1.2,3.2,2TM,0.467,4.4,0.398,0.5,0.416,0.836,0.411,13.2,3.1,1.1,-1.1,14.7,15.4,8.3,2.6,17.9,0.282,0.524,0.301,64,360,,7,40,36,46,15,14
Aaron McKie,1997,SG,mckieaa01,42,1.1,3.8,DET,0.507,5.0,0.375,0.6,0.491,0.836,0.464,14.5,4.0,0.7,-0.2,16.2,15.1,9.4,2.9,15.1,0.23,0.558,0.292,38,172,,3,25,22,25,3,7
Aaron McKie,1997,SG,mckieaa01,41,1.3,2.5,POR,0.413,3.8,0.418,0.3,0.297,0.837,0.34,11.9,2.0,1.5,-2.0,13.1,15.8,7.1,2.3,21.3,0.353,0.479,0.314,26,188,,4,15,14,21,12,7
Aaron Williams,1997,C,williaa01,33,0.0,4.5,2TM,0.574,4.5,0.0,1.9,0.578,0.673,0.574,16.9,12.6,3.9,-1.0,16.6,4.7,14.7,1.5,15.9,0.007,0.599,0.331,42,32,,11,26,7,13,4,8
Aaron Williams,1997,C,williaa01,1,0.0,5.0,DEN,0.6,5.0,,2.0,0.6,,0.6,33.8,23.1,20.5,-7.9,40.2,0.0,28.5,0.0,44.4,0.0,0.6,0.0,0,0,,0,0,0,1,2,0
Aaron Williams,1997,PF,williaa01,32,0.0,4.4,VAN,0.573,4.5,0.0,1.9,0.577,0.673,0.573,16.6,12.4,3.6,-0.9,16.2,4.8,14.5,1.6,14.5,0.007,0.599,0.343,42,32,,11,26,7,12,2,8
Acie Earl,1997,C,earlac01,47,0.1,3.7,2TM,0.372,3.8,0.0,0.7,0.383,0.643,0.372,14.7,8.0,4.5,-4.3,22.7,6.7,11.3,1.6,13.9,0.028,0.433,0.467,25,45,,2,28,8,13,10,5
Acie Earl,1997,C,earlac01,9,0.0,2.6,MIL,0.348,2.6,,0.2,0.348,0.714,0.348,25.5,5.7,1.7,-3.4,33.6,8.2,15.7,3.7,6.4,0.0,0.446,0.609,3,4,,0,3,1,1,0,0
Acie Earl,1997,C,earlac01,38,0.1,4.0,TOR,0.376,4.1,0.0,0.9,0.388,0.629,0.376,13.7,8.2,4.7,-4.4,21.6,6.5,10.9,1.4,14.9,0.032,0.431,0.446,22,41,,2,25,7,12,10,5
Adam Keefe,1997,C,keefead01,62,0.0,2.6,UTA,0.513,2.6,0.0,1.2,0.516,0.689,0.513,18.2,10.9,1.2,-1.3,12.7,5.0,14.7,1.7,18.0,0.006,0.572,0.644,52,70,,9,40,13,14,8,7
Adrian Caldwell,1997,PF,caldwad01,45,0.0,2.0,2TM,0.435,2.0,0.0,1.3,0.444,0.42,0.435,21.6,10.7,1.0,-5.6,10.6,3.1,16.0,1.4,19.7,0.022,0.443,0.543,51,27,,6,21,10,13,5,4
Adrian Caldwell,1997,PF,caldwad01,18,0.1,1.8,NJN,0.286,1.9,0.0,1.1,0.303,0.529,0.286,20.3,10.0,0.4,-6.9,11.4,3.5,14.8,2.0,22.0,0.057,0.341,0.486,16,11,,1,7,3,5,2,3
Adrian Caldwell,1997,PF,caldwad01,27,0.0,2.1,PHI,0.526,2.1,,1.4,0.526,0.364,0.526,22.3,11.1,1.4,-4.8,10.1,2.8,16.6,1.1,18.3,0.0,0.503,0.579,35,16,,5,14,7,8,3,1
Alan Henderson,1997,PF,hendeal01,30,0.0,5.4,ATL,0.475,5.4,,1.6,0.475,0.6,0.475,16.1,11.4,0.9,-2.3,21.1,8.3,13.8,2.3,12.9,0.0,0.51,0.463,49,60,,9,35,16,8,10,1
Aleksandar Djordjevic,1997,SG,djordal01,8,0.9,1.1,POR,0.656,2.0,0.714,0.1,0.333,0.8,0.5,7.6,2.0,0.0,2.0,17.1,13.1,4.9,0.0,21.6,0.438,0.687,0.313,1,12,,1,2,0,3,1,0
Allan Houston,1997,SG,houstal01,81,4.7,8.0,NYK,0.495,12.7,0.385,0.5,0.446,0.803,0.423,8.5,2.0,0.5,-0.6,22.2,11.9,5.4,0.8,12.9,0.372,0.531,0.211,105,384,,18,70,35,77,28,16
Allen Iverson,1997,PG,iversal01,76,6.0,13.8,PHI,0.467,19.8,0.341,1.5,0.448,0.702,0.416,7.2,4.0,0.6,2.5,28.9,33.6,5.6,2.6,16.2,0.303,0.513,0.362,88,1199,,40,180,105,174,78,19
Alonzo Mourning,1997,C,mournal01,66,0.1,13.3,MIA,0.535,13.4,0.111,2.9,0.539,0.642,0.534,23.4,9.8,6.3,0.5,27.5,8.8,16.8,1.3,16.6,0.01,0.578,0.638,104,264,,40,218,68,58,38,56
Alton Lister,1997,C,listeal01,53,0.0,1.5,BOS,0.416,1.5,,1.2,0.416,0.742,0.416,24.6,13.7,2.0,-5.1,10.0,3.6,18.7,0.8,24.9,0.0,0.48,0.403,50,29,,1,11,7,16,1,8
Amal McCaskill,1997,C,mccasam01,17,0.1,1.8,ORL,0.313,1.9,0.0,0.2,0.333,0.667,0.313,19.9,4.2,3.6,-6.5,20.4,10.3,11.8,1.5,22.8,0.063,0.376,0.375,5,17,,0,5,3,5,0,0
Andrew DeClercq,1997,C,declean01,71,0.0,3.8,GSW,0.52,3.8,,1.7,0.52,0.603,0.52,19.7,13.6,1.9,-3.8,17.4,4.9,16.6,1.6,18.3,0.0,0.552,0.553,115,57,,13,61,29,17,22,22
Andrew Lang,1997,C,langan01,52,0.0,4.8,MIL,0.464,4.8,,1.8,0.464,0.721,0.464,18.8,9.7,2.9,-2.3,12.2,3.2,14.2,1.2,12.4,0.0,0.498,0.246,80,56,,5,26,22,8,9,10
Anfernee Hardaway,1997,PG,hardaan01,59,4.5,11.4,ORL,0.493,15.9,0.318,1.4,0.499,0.82,0.447,9.8,4.2,1.2,4.5,25.7,28.5,6.9,2.3,11.7,0.284,0.554,0.367,53,766,,30,142,61,88,26,4
Anthony Goldwire,1997,PG,goldwan01,60,2.6,3.0,2TM,0.494,5.5,0.418,0.2,0.379,0.782,0.397,7.0,1.2,0.1,-0.4,17.0,29.1,4.1,1.5,17.3,0.464,0.531,0.236,22,485,,8,34,17,47,5,9
Anthony Goldwire,1997,PG,goldwan01,33,2.5,2.2,CHH,0.519,4.7,0.439,0.1,0.361,0.75,0.403,7.1,0.7,0.1,-0.4,17.4,25.2,4.0,1.8,19.3,0.532,0.554,0.26,9,206,,2,15,10,21,2,5
Anthony Goldwire,1997,PG,goldwan01,27,2.6,3.9,DEN,0.472,6.5,0.394,0.3,0.39,0.816,0.392,6.8,1.7,0.1,-0.4,16.6,32.8,4.3,1.2,15.4,0.403,0.511,0.216,13,279,,6,19,7,26,3,4
Anthony Mason,1997,PF,masonan01,73,0.0,11.3,CHH,0.525,11.3,0.333,2.5,0.526,0.745,0.525,24.0,7.4,0.8,2.6,17.6,21.4,16.0,1.3,14.0,0.004,0.585,0.519,100,977,,56,185,66,80,25,20
Anthony Miller,1997,PF,millean01,1,0.0,5.0,ATL,0.0,5.0,,2.0,0.0,,0.0,41.7,17.4,0.0,-11.1,16.9,0.0,29.8,0.0,0.0,0.0,0.0,0.0,1,0,,0,0,1,0,0,0
Anthony Peeler,1997,SG,peelean01,72,4.8,9.3,VAN,0.461,14.0,0.373,0.8,0.41,0.82,0.398,9.9,2.7,0.6,-0.4,24.9,20.8,6.3,2.5,12.8,0.339,0.487,0.132,59,551,,10,50,47,93,32,7
Antoine Carr,1997,PF,carran01,82,0.0,6.3,UTA,0.483,6.4,0.0,0.7,0.486,0.78,0.483,10.9,5.5,3.6,-2.8,20.8,8.2,8.3,0.9,11.5,0.006,0.522,0.243,105,160,,15,54,24,29,19,10
Antoine Walker,1997,PF,walkean02,82,1.9,14.6,BOS,0.445,16.5,0.327,3.5,0.438,0.631,0.425,19.0,10.4,1.3,-0.3,25.2,15.3,14.4,1.8,13.2,0.117,0.474,0.27,129,587,,40,158,118,118,27,16
Antonio Davis,1997,PF,davisan01,82,0.2,7.6,IND,0.481,7.8,0.071,2.3,0.49,0.666,0.48,20.5,9.9,2.9,-1.4,18.6,4.8,15.3,1.0,15.0,0.022,0.536,0.565,126,148,,19,138,66,42,26,26
Antonio Harvey,1997,PF,harvean01,6,0.0,1.8,SEA,0.455,1.8,,0.3,0.455,0.833,0.455,37.0,9.3,13.2,-3.0,25.7,6.8,23.2,0.0,6.8,0.0,0.55,0.545,6,2,,0,3,2,0,0,0
